活动区域,子区域,日期,时段,客流量,age（0-25）,age（26-44）,age（45-60+）,首次到访占比,男性客流量,女性客流量,驻留时长1,驻留时长2,驻留时长3,驻留时长4,是否活动时间
 无锡映月湖     ,映月湖公园,20240502,3,820,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
 无锡映月湖     ,映月湖公园,20240502,7,4924,2962,14905,29029,0.58,28495,18488,3524,2297,1582,599,1
 无锡映月湖     ,映月湖公园,20240503,0,1946,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,11,7918,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,15,8831,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,19,10920,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,22,4887,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,4,618,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240503,8,6685,2874,28116,14794,0.56,27828,18028,3264,2073,1537,612,1
 无锡映月湖     ,映月湖公园,20240504,1,1162,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240504,12,7142,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240504,16,8157,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240504,23,3113,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240504,5,1209,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240504,9,6386,2603,24686,12829,0.55,24816,15387,2144,1393,1021,530,1
 无锡映月湖     ,映月湖公园,20240505,13,7725,3208,26528,14158,0.58,24816,15387,2075,1363,957,503,1
 无锡映月湖     ,映月湖公园,20240505,17,10420,3208,26528,14158,0.58,24816,15387,2075,1363,957,503,1
 无锡映月湖     ,映月湖公园,20240505,2,714,3208,26528,14158,0.58,24816,15387,2075,1363,957,503,1
 无锡映月湖     ,映月湖公园,20240505,20,8899,3208,26528,14158,0.58,24816,15387,2075,1363,957,503,1
 无锡映月湖     ,映月湖公园,20240505,6,2556,3208,26528,14158,0.58,24816,15387,2075,1363,957,503,1
 无锡映月湖     ,九里仓,20240424,6,961,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,7,3258,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,8,2360,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,9,1797,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240424,10,1612,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,5,320,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,6,843,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,7,2601,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,8,1856,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,9,1815,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240425,10,1283,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,6,933,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,7,3015,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,8,2295,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,9,1799,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,10,1620,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,11,2019,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240426,12,1977,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,7,1168,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,8,1487,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,9,1810,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,10,1989,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,11,2318,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240427,12,2549,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,6,873,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,7,2883,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,8,2119,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,9,1595,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240428,10,1561,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,18,3329,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,19,2675,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,20,2250,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,21,1836,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,22,1111,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240430,23,709,,,,,,,,,,,0
 无锡映月湖     ,九里仓,20240501,0,557,1131,11311,5553,0.73,10750,7287,1972,1027,470,204,1
 无锡映月湖     ,九里仓,20240501,1,313,1131,11311,5553,0.73,10750,7287,1972,1027,470,204,1
 无锡映月湖     ,九里仓,20240501,2,194,1131,11311,5553,0.73,10750,7287,1972,1027,470,204,1
